State,City,Destination,Distance/km,Time_Taken/min
Tennessee,Columbia,Memphis,319,200
Tennessee,Dyersburg,Memphis,127,100
,,,,
,,,,
Arkansas,Hot Springs,Pine Bluff,115.4,88
Arkansas,Hot Springs,Jonesboro,292,168
Arkansas,Hot Springs,West Memphis,289,166
Arkansas,Hot Springs,Fayetteville,301,204
Arkansas,Hot Springs,Little Rock,87.7,55
Arkansas,Hot Springs,Conway,124.2,75
Arkansas,Hot Springs,Texarkana,179,115
Arkansas,Hot Springs,Jacksonville,106.7,65
Arkansas,Hot Springs,Fort Smith,206,158
Arkansas,Pine Bluff,Hot Springs,114.2,88
Arkansas,Pine Bluff,Jonesboro,273.6,156
Arkansas,Pine Bluff,West Memphis,220.5,149
Arkansas,Pine Bluff,Fayetteville,372.1,209
Arkansas,Pine Bluff,Little Rock,71.3,44
Arkansas,Pine Bluff,Conway,117.2,69
Arkansas,Pine Bluff,Texarkana,247.9,156
Arkansas,Pine Bluff,Jacksonville,89.6,54
Arkansas,Pine Bluff,Fort Smith,321.9,183
Arkansas,Jonesboro,Hot Springs,293.3,170
Arkansas,Jonesboro,Pine Bluff,277.6,157
Arkansas,Jonesboro,West Memphis,102.2,61
Arkansas,Jonesboro,Fayetteville,463.5,265
Arkansas,Jonesboro,Little Rock,210.8,119
Arkansas,Jonesboro,Conway,209.2,124
Arkansas,Jonesboro,Texarkana,436.1,247
Arkansas,Jonesboro,Jacksonville,186.9,105
Arkansas,Jonesboro,Fort Smith,413.6,238
Arkansas,West Memphis,Hot Springs,289.7,170
Arkansas,West Memphis,Pine Bluff,223.7,146
Arkansas,West Memphis,Jonesboro,102.2,61
Arkansas,West Memphis,Fayetteville,497.1,264
Arkansas,West Memphis,Little Rock,207.8,119
Arkansas,West Memphis,Conway,243.4,138
Arkansas,West Memphis,Texarkana,433.4,247
Arkansas,West Memphis,Jacksonville,201.2,113
Arkansas,West Memphis,Fort Smith,447.5,252
Arkansas,Fayetteville,Hot Springs,301,204
Arkansas,Fayetteville,Pine Bluff,376,216
Arkansas,Fayetteville,Jonesboro,463,265
Arkansas,Fayetteville,West Memphis,497,269
Arkansas,Fayetteville,Little Rock,309,170
Arkansas,Fayetteville,Conway,254,142
Arkansas,Fayetteville,Texarkana,389,262
Arkansas,Fayetteville,Jacksonville,316,173
Arkansas,Fayetteville,Fort Smith,93,58
Arkansas,Little Rock,Hot Springs,87.7,55
Arkansas,Little Rock,Pine Bluff,71.3,44
Arkansas,Little Rock,Jonesboro,210.8,119
Arkansas,Little Rock,West Memphis,207.8,119
Arkansas,Little Rock,Fayetteville,309,170
Arkansas,Little Rock,Conway,52.3,31
Arkansas,Little Rock,Texarkana,232.2,142
Arkansas,Little Rock,Jacksonville,24.9,16
Arkansas,Little Rock,Fort Smith,257.5,144
Arkansas,Conway,Hot Springs,123.3,75
Arkansas,Conway,Pine Bluff,117.8,68
Arkansas,Conway,Jonesboro,207.8,121
Arkansas,Conway,West Memphis,245.1,136
Arkansas,Conway,Fayetteville,257.5,144
Arkansas,Conway,Little Rock,53.9,31
Arkansas,Conway,Texarkana,268.8,162
Arkansas,Conway,Jacksonville,60.8,35
Arkansas,Conway,Fort Smith,207.8,117
Arkansas,Texarkana,Hot Springs,177,115
Arkansas,Texarkana,Pine Bluff,246,154
Arkansas,Texarkana,Jonesboro,433,244
Arkansas,Texarkana,West Memphis,431,242
Arkansas,Texarkana,Fayetteville,388,266
Arkansas,Texarkana,Little Rock,230,130
Arkansas,Texarkana,Conway,267,151
Arkansas,Texarkana,Jacksonville,250,141
Arkansas,Texarkana,Fort Smith,296,215
Arkansas,Jacksonville,Hot Springs,1014,592
Arkansas,Jacksonville,Pine Bluff,90.6,54
Arkansas,Jacksonville,Jonesboro,185,102
Arkansas,Jacksonville,West Memphis,204,112
Arkansas,Jacksonville,Fayetteville,1435,783
Arkansas,Jacksonville,Little Rock,24.6,17
Arkansas,Jacksonville,Conway,1391,775
Arkansas,Jacksonville,Texarkana,253,156
Arkansas,Jacksonville,Fort Smith,266,147
Arkansas,Fort Smith,Hot Springs,206,158
Arkansas,Fort Smith,Pine Bluff,322,207
Arkansas,Fort Smith,Jonesboro,414,239
Arkansas,Fort Smith,West Memphis,449,253
Arkansas,Fort Smith,Fayetteville,93,58
Arkansas,Fort Smith,Little Rock,259,144
Arkansas,Fort Smith,Conway,206,117
Arkansas,Fort Smith,Texarkana,296,215
Arkansas,Fort Smith,Jacksonville,266,147
